suburb,1q,2q,3q,4q+,studio
Alto Sao Bento,1166.6666666666665,0.0,,16363.396624472573,
Areal,1649.9186991869904,,,,
Canto da Praia,2385.5357142857115,0.0,1150.900900900901,0.0,
Casa Branca,0.0,1586.95652173913,3528.5868055555547,,
Centro,2251.396604938272,2306.3768115942025,2496.9707365704894,7666.841083024117,
Ilhota,119.61610486891412,3001.355421686747,1001.9607843137263,0.0,
Jardim Praiamar,942.4882629107979,,,,
Leopoldo Zarling,0.0,,,,
Meia Praia,1931.310679611648,2485.977564102563,3055.902455977756,5041.666666666666,0.0
Morretes,1923.508522727272,1935.1101823708195,3154.0392673611095,11154.154833930115,
Sertao do Trombudo,1258.9795621045619,,,14828.125,
Sertaozinho,1545.243670886076,0.0,1013.8888888888879,4094.551282051276,
Tabuleiro dos Oliveiras,,2774.4932432432433,1572.9492968717109,9125.0,
Varzea,2357.738970588235,,,0.0,
