amenidade,n_pres,n_aus,receita_pres,receita_aus,delta_receita_pct,occ_pres,occ_aus,diaria_pres,diaria_aus
tv,985,14,2683.8235294117644,724.2657519536006,270.55784042977933,0.171875,0.0879120879120878,550.0,350.0
ar_condicionado,986,13,2676.6857008760944,1443.2708333333328,85.45969606370451,0.1715728715728715,0.1029411764705882,550.0,450.0
cozinha,977,22,2722.9388297872333,1473.5996469833121,84.78145236811865,0.171875,0.1342902711323764,553.0,378.0
vista_mar,153,846,3753.546099290778,2527.727489053874,48.49488782098608,0.2205882352941176,0.1648918092217061,648.0,527.0
elevador,635,364,2846.569865319865,2362.409459126983,20.494347595941353,0.1785714285714286,0.1548457411133467,584.5,500.0
churrasqueira,769,230,2739.462365591397,2341.8626702303673,16.977925324797894,0.1666666666666666,0.1881372549019607,575.0,490.0
estacionamento,957,42,2634.0206185566994,2734.463755199048,-3.673229767678421,0.1692307692307691,0.20410288451525566,553.0,475.5
varanda,405,594,2582.5471698113206,2686.6257880220637,-3.873952921719237,0.1666666666666666,0.1726266496381439,518.0,567.0
academia,111,888,2340.5154639175253,2762.1359280792412,-15.264290937879588,0.1630434782608695,0.17214439655172414,509.0,557.0
piscina,140,859,2326.0910652920957,2755.3921568627434,-15.580398982460808,0.1607900318133616,0.1724137931034483,509.0,557.5
