suburb,n,mediana,media,p25,p75,std,cv
Meia Praia,632,3124.1147741147734,3969.023353992167,493.4905832119683,5653.352272727273,4395.942108994844,1.1075626714499598
Tabuleiro dos Oliveiras,20,2722.020557791834,3802.903996235532,902.2498693834901,5464.374508261212,4004.1161194994816,1.052910124332123
Centro,205,2340.5154639175253,3082.426545911843,988.8953488372084,4081.254125412541,3232.0692681885184,1.0485470521512164
Varzea,5,2266.0416666666665,2558.3254732927653,0.0,2449.4362745098038,3302.791482255198,1.290997379627482
Morretes,83,2060.483870967742,3202.760689551456,834.8180369013695,4365.699809211408,3391.8177253536105,1.0590293981123615
Ilhota,10,1589.758801247772,1612.8549503070947,59.80805243445706,2884.3989192062368,1539.5425676563962,0.9545449622504866
Casa Branca,15,1512.468749999999,1515.5228835006733,0.0,2415.9231200897866,1586.6993129584152,1.0469649321911478
Sertaozinho,6,1255.194444444444,2048.9131324605983,253.47222222222197,1569.615506329114,3088.0870853625925,1.5071830212996977
Alto Sao Bento,5,1166.6666666666665,4834.384977915957,288.15789473684197,6353.7037037037035,6941.146435463155,1.4357868616527507
Canto da Praia,9,0.0,1445.3630468375127,0.0,2385.5357142857115,1885.1946156781075,1.3043052538273732
